,Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,DOY,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,AQI_calculated_where,AQI_Cause,AQI_bucket_calculated
36377,Seattle 10th & Weller,2015-04-14 04:00:00,0.7303999999999999,31.43,,,,6.5,,,,39.0,129.0,,,2.7,2015-04-14,,95.0,,,170.81138040042148,0.0,0.0,27.083333333333336,0.0,0.0,0.0,29.650943396226417,0.0,171.0,PM2.5MO_SubIndex,PM2.5,Moderate
121816,Seattle Beacon Hill,2015-04-14 04:00:00,,,,30.0,,4.3,100.0,,38.0,,158.0,,,,2015-04-14,,98.08333333333333,,,172.43589743589743,0.0,0.0,17.916666666666668,0.0,0.0,0.0,0.0,0.0,172.0,PM2.5MO_SubIndex,PM2.5,Moderate
121817,Seattle Beacon Hill,2015-04-14 05:00:00,,,,20.0,,6.1,100.0,,38.0,,162.0,,,,2015-04-14,,101.25,,,174.10432033719704,0.0,0.0,25.416666666666668,0.0,0.0,0.0,0.0,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
36378,Seattle 10th & Weller,2015-04-14 05:00:00,0.6921,32.32,,,,8.1,,,,40.0,126.0,,,2.2,2015-04-14,,103.75,,1.4482125,175.42149631190728,0.0,0.0,33.75,0.0,16.456960227272727,0.0,30.49056603773585,0.0,175.0,PM2.5MO_SubIndex,PM2.5,Moderate
121818,Seattle Beacon Hill,2015-04-14 06:00:00,,,,10.0,,4.0,98.0,,40.0,,155.0,,,,2015-04-14,,103.54166666666667,,1.4370999999999998,175.3117316473481,0.0,0.0,16.666666666666668,0.0,16.330681818181816,0.0,0.0,0.0,175.0,PM2.5MO_SubIndex,PM2.5,Moderate
36379,Seattle 10th & Weller,2015-04-14 06:00:00,0.6173,32.57,,,,12.1,,,,40.0,145.0,,,3.1,2015-04-14,,102.75,,1.4076125,174.89462592202318,0.0,0.0,50.0,0.0,15.99559659090909,0.0,30.72641509433962,0.0,175.0,PM2.5MO_SubIndex,PM2.5,Moderate
121819,Seattle Beacon Hill,2015-04-14 07:00:00,,,,20.0,,3.8,94.0,,42.0,,144.0,,,,2015-04-14,,102.33333333333333,,1.3696875,174.67509659290482,0.0,0.0,15.833333333333334,0.0,15.564630681818182,0.0,0.0,0.0,175.0,PM2.5MO_SubIndex,PM2.5,Moderate
36380,Seattle 10th & Weller,2015-04-14 07:00:00,0.5842,31.61,,,,8.3,,,,42.0,170.0,,,5.0,2015-04-14,,101.66666666666667,,1.2897375,174.32384966631543,0.0,0.0,34.583333333333336,0.0,14.656107954545455,0.0,29.82075471698113,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
121820,Seattle Beacon Hill,2015-04-14 08:00:00,,,,20.0,,5.1,89.0,,42.0,,160.0,,,,2015-04-14,,101.375,,1.2203125,174.17017913593256,0.0,0.0,21.25,0.0,13.867187499999998,0.0,0.0,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
36381,Seattle 10th & Weller,2015-04-14 08:00:00,0.5714,34.0,,,,14.1,,,,43.0,174.0,,,5.8,2015-04-14,,101.33333333333333,,1.2067624999999997,174.14822620302073,0.0,0.0,54.291845493562235,0.0,13.713210227272723,0.0,32.075471698113205,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
121821,Seattle Beacon Hill,2015-04-14 09:00:00,,,,20.0,,6.6,84.0,,44.0,,152.0,,,,2015-04-14,,101.125,,1.1926,174.03846153846155,0.0,0.0,27.5,0.0,13.552272727272728,0.0,0.0,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
36382,Seattle 10th & Weller,2015-04-14 09:00:00,0.5842,30.39,,,,11.6,,,,44.0,168.0,,,4.9,2015-04-14,,101.33333333333333,,1.1960374999999999,174.14822620302073,0.0,0.0,48.333333333333336,0.0,13.591335227272726,0.0,28.669811320754718,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
121799,Seattle Beacon Hill,2015-04-14 10:00:00,,,,30.0,,2.9,74.0,,47.0,,158.0,,,,2015-04-14,,101.54166666666667,,1.2445249999999999,174.2579908675799,0.0,0.0,12.083333333333334,0.0,14.142329545454544,0.0,0.0,0.0,174.0,PM2.5MO_SubIndex,PM2.5,Moderate
